Run	Fitness1	Solution1	Fitness2	Solution2
1	6403	01100000000001000000000000000000001000000000000001010000000001000000000000100000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000	6349	00111000000000000000000000000000000100010000000000010000010000000000000000000000001000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	6349	00111000000000000000000000000000000100010000000000010000010000000000000000000000001000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000	6224	00000001100001001000010001000000000000001000000000000000010000000000000000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	6224	00000001100001001000010001000000000000001000000000000000010000000000000000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6146	01000000000001000000000001000010010000101001000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	6146	01000000000001000000000001000010010000101001000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6144	01010000000001000000010001010000000000101001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	6144	01010000000001000000010001010000000000101001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6047	00000101100001001000010001000000000000000000000000010000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	6047	00000101100001001000010001000000000000000000000000010000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6015	00000101100001001000010001000000000000001000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	6015	00000101100001001000010001000000000000001000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5971	01000001100001000000010001000000010000001000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	5971	01000001100001000000010001000000010000001000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5956	00000101100001001000010001000010010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	5956	00000101100001001000010001000010010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5947	00000101100001001000010001000000010000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	5947	00000101100001001000010001000000010000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5923	00000101100001001000010001000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000
