Run	Fitness1	Solution1	Fitness2	Solution2
1	6566	00110010000000000001000010001000000000000000000000000000010000000000010000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000	6262	10100010000000000001000010001000000000000000000000000000000000001000010000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000
1	6262	10100010000000000001000010001000000000000000000000000000000000001000010000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000	6037	10101010010100000000000010001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000
1	6037	10101010010100000000000010001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000	5875	11101010010100000000000010001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	5875	11101010010100000000000010001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5781	11101010010100000000100010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	5781	11101010010100000000100010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5733	11111010000100100000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	5733	11111010000100100000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5725	11111010000100100000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	5725	11111010000100100000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5698	10111010000101110000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	5698	10111010000101110000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5687	11110011000101100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	5687	11110011000101100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5644	11110011010101000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	5644	11110011010101000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5639	11111010010101000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	5639	11111010010101000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5631	11111100011001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	7031	10001000010000000100000000000000000000000000000000000000000000000000001000000000010000000000100000000000000000000100000100000000000000000000000000000000000000000000000000000000000000100000000000000000	6919	10001000010000000100000000000000000000000000100000000100000000000000001000000000010000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	6919	10001000010000000100000000000000000000000000100000000100000000000000001000000000010000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6837	00001000010000000100000000000000000010000000100000000000000000000000001000000000011000000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	6837	00001000010000000100000000000000000010000000100000000000000000000000001000000000011000000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6758	10000010010000000100000000000000000010000000100000000000000000000000001001000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	6758	10000010010000000100000000000000000010000000100000000000000000000000001001000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6721	00000010000000000100000010000001000010000000100000000000000000000000001001000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	6721	00000010000000000100000010000001000010000000100000000000000000000000001001000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6504	00001010000000001100000010000001000000000000100000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000
2	6504	00001010000000001100000010000001000000000000100000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000	6243	00101010000000001100000010000001000000000000100000000000000000000000000000000000010000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	6243	00101010000000001100000010000001000000000000100000000000000000000000000000000000010000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6205	00001010100000001100000010000001000000000000110000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	6205	00001010100000001100000010000001000000000000110000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6011	01011010100000000100000000000001000000000000000000000000000000000000000000000000000100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	6011	01011010100000000100000000000001000000000000000000000000000000000000000000000000000100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5909	01011010100011000100000000000000000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	5909	01011010100011000100000000000000000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5805	01011010100111000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	5805	01011010100111000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5700	11001010101101000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	5700	11001010101101000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5691	11001010111101000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	5691	11001010111101000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5688	11000011111101000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	5688	11000011111101000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5661	11010011110101000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	5661	11010011110101000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5639	11111010010101000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2	5639	11111010010101000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5631	11111100011001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3	7453	10000000000000000000000000000000000100010000000000000100001000000000000000011000000000000000000000000000000000001001000000000000000000000000000000000100000000000000000000000000000000000000000000000000	7214	00000001100000000000000010000000000100010000000000000000000000000000000000011000000000000000000000000000000000001001000000000000010000000000000000000000000000000000000000000000000000000000000000000000
3	7214	00000001100000000000000010000000000100010000000000000000000000000000000000011000000000000000000000000000000000001001000000000000010000000000000000000000000000000000000000000000000000000000000000000000	6854	10000001000000000000000010000000000100010000000000000100000000000000000000011000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000
3	6854	10000001000000000000000010000000000100010000000000000100000000000000000000011000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000	6750	00000001100011000000000000000000000000010000000000000000001000000000000000001000000000000000000000000000000000001000000000000001000000000000000000000000000000000000010000000000000000000000000000000000
3	6750	00000001100011000000000000000000000000010000000000000000001000000000000000001000000000000000000000000000000000001000000000000001000000000000000000000000000000000000010000000000000000000000000000000000	6332	00000101100011000000000000000000000000010000000000000000001000000000000000001000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
3	6332	00000101100011000000000000000000000000010000000000000000001000000000000000001000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000	6284	10000101010001001000000000000000000000010000000000000000001000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3	6284	10000101010001001000000000000000000000010000000000000000001000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6078	10010101000001101000000000000000000000000000000000000000001000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3	6078	10010101000001101000000000000000000000000000000000000000001000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6075	10010101000001110000000000000000000000000000000000000000001000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3	6075	10010101000001110000000000000000000000000000000000000000001000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5971	10010101100001110000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3	5971	10010101100001110000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5926	10010101100001110000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000
3	5926	10010101100001110000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000	5887	10010101101001110000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3	5887	10010101101001110000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5730	10011100101001110000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3	5730	10011100101001110000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5721	10010101101001110000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3	5721	10010101101001110000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5690	10010101101101110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3	5690	10010101101101110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5672	10010101111001010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3	5672	10010101111001010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5631	11110101011001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4	7878	00000000000000000000000100000000000000000010011000000000000100010001000000000010000000000000000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	7657	00000000000000000000000000000000000000000010011000000100000000010001000000000010000000000000000000100000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4	7657	00000000000000000000000000000000000000000010011000000100000000010001000000000010000000000000000000100000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	7397	00000000000000000010000000000000000000000010011000000100000010000000000000000010000000000000000000100000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4	7397	00000000000000000010000000000000000000000010011000000100000010000000000000000010000000000000000000100000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	7159	10000000100000000010000000000000000000000010010000000000000010000000000100000000000000000000000000000001000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4	7159	10000000100000000010000000000000000000000010010000000000000010000000000100000000000000000000000000000001000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6933	01000000100000000010000010000000000000100010000000000000000010000000000100000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4	6933	01000000100000000010000010000000000000100010000000000000000010000000000100000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6780	10010000100000000010000010000000000000100010000000000000000010000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
