Run,Fitness1,Solution1,Fitness2,Solution2
1,20011.0,b'\x80\x03]q\x00K\x00J\xff\xff\xff\xff]q\x01(J\xff\xff\xff\xffJ\xff\xff\xff\xff\x86q\x02J\xfe\xff\xff\xffJ\xff\xff\xff\xff\x86q\x03e\x87q\x04a.',29989.0,b'\x80\x03]q\x00K\x00J\xff\xff\xff\xff]q\x01(J\xff\xff\xff\xffJ\xfd\xff\xff\xff\x86q\x02J\xfe\xff\xff\xffK\x02\x86q\x03e\x87q\x04a.'
1,29989.0,b'\x80\x03]q\x00K\x00J\xff\xff\xff\xff]q\x01(J\xff\xff\xff\xffJ\xfd\xff\xff\xff\x86q\x02J\xfe\xff\xff\xffK\x02\x86q\x03e\x87q\x04a.',30051.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05K\x18K\x02\x86q\x06a\x87q\x07e.'
1,30051.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05K\x18K\x02\x86q\x06a\x87q\x07e.',30051.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05K\x18K\x02\x86q\x06a\x87q\x07e.'
1,30051.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05K\x18K\x02\x86q\x06a\x87q\x07e.',30051.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05K\x18K\x02\x86q\x06a\x87q\x07e.'
1,30051.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05K\x18K\x02\x86q\x06a\x87q\x07e.',30075.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05K\x18K\x02\x86q\x06a\x87q\x07e.'
1,30075.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05K\x18K\x02\x86q\x06a\x87q\x07e.',30075.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05K\x18K\x02\x86q\x06a\x87q\x07e.'
1,30075.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05K\x18K\x02\x86q\x06a\x87q\x07e.',30833.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05(J\xfe\xff\xff\xffK\x00\x86q\x06K\x18K\x01\x86q\x07e\x87q\x08e.'
1,30833.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05(J\xfe\xff\xff\xffK\x00\x86q\x06K\x18K\x01\x86q\x07e\x87q\x08e.',30833.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05(J\xfe\xff\xff\xffK\x00\x86q\x06K\x18K\x01\x86q\x07e\x87q\x08e.'
1,30833.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05(J\xfe\xff\xff\xffK\x00\x86q\x06K\x18K\x01\x86q\x07e\x87q\x08e.',30833.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05(J\xfe\xff\xff\xffK\x00\x86q\x06K\x18K\x01\x86q\x07e\x87q\x08e.'
1,30833.0,b'\x80\x03]q\x00(K\x18K\x00]q\x01(J\xfe\xff\xff\xffK\x01\x86q\x02J\xff\xff\xff\xffK\x01\x86q\x03e\x87q\x04K\x00J\xff\xff\xff\xff]q\x05(J\xfe\xff\xff\xffK\x00\x86q\x06K\x18K\x01\x86q\x07e\x87q\x08e.',30000.0,b'\x80\x03]q\x00K\x00J\xfe\xff\xff\xff]q\x01(J\xff\xff\xff\xffJ\xfd\xff\xff\xff\x86q\x02J\xfe\xff\xff\xffK\x04\x86q\x03e\x87q\x04a.'
